Datetime(UTC)	BISM2	BLTM2	APAM2	SLIM2	KPTV2	SWPV2	CBBV2	WASD2	AXTV2	GTND2
2017-09-29 13:00:00	2.0	0.7	1.1	2.1	1.6	1.8	1.8	1.41	0.0	2.33
2017-09-29 14:00:00	1.9	0.7	1.3	2.1	1.5	1.6	1.8	1.18	-0.23	2.1
2017-09-29 15:00:00	1.7	0.7	1.4	2.0	1.6	1.6	1.9	1.08	-0.33	2.0
2017-09-29 16:00:00	1.5	1.1	1.5	1.8	1.8	1.7	2.2	1.21	-0.16	2.13
2017-09-29 17:00:00	1.3	1.2	1.6	1.7	2.2	2.1	2.6	1.8	0.43	2.69
2017-09-29 18:00:00	1.0	1.4	1.6	1.6	2.7	2.4	3.0	2.59	1.15	3.51
2017-09-29 19:00:00	0.9	1.5	1.5	1.4	3.1	2.8	3.3	3.15	1.71	4.1
2017-09-29 20:00:00	0.9	1.4	1.4	1.4	3.4	3.1	3.4	3.38	1.97	4.33
2017-09-29 21:00:00	1.1	1.6	1.4	1.5	3.2	3.2	3.3	3.35	1.9	4.3
2017-09-29 22:00:00	1.4	1.4	1.4	1.7	3.1	3.1	3.0	3.02	1.57	3.94
2017-09-29 23:00:00	1.8	1.3	1.4	2.0	2.7	2.8	2.6	2.49	1.05	3.41
2017-09-30 00:00:00	2.1	1.3	1.4	2.2	2.2	2.4	2.1	1.94	0.49	2.85
2017-09-30 01:00:00	2.2	1.4	1.6	2.5	1.9	1.9	1.8	1.48	0.07	2.39
2017-09-30 02:00:00	2.3	1.6	1.8	2.6	1.6	1.6	1.6	1.18	-0.23	2.1
2017-09-30 03:00:00	2.1	1.8	2.0	2.6	1.5	1.4	1.6	1.02	-0.36	1.94
2017-09-30 04:00:00	2.0	2.0	2.3	2.5	1.6	1.5	1.8	1.18	-0.2	2.07
2017-09-30 05:00:00	1.7	2.3	2.5	2.3	1.9	1.7	2.2	1.74	0.36	2.62
2017-09-30 06:00:00	1.7	2.4	2.5	2.1	2.3	2.3	2.5	2.56	1.12	3.48
2017-09-30 07:00:00	1.5	2.5	2.4	1.9	2.8	2.6	2.9	3.15	1.71	4.1
2017-09-30 08:00:00	1.4	2.4	2.3	1.8	3.1	2.9	3.1	3.38	1.97	4.33
2017-09-30 09:00:00	1.4	2.3	2.1	1.7	3.2	3.1	3.0	3.41	2.0	4.36
2017-09-30 10:00:00	1.6	2.1	2.0	1.7	3.1	3.0	2.9	3.35	1.94	4.27
2017-09-30 11:00:00	2.0	1.9	1.8	1.9	2.8	2.8	2.6	3.12	1.71	4.07
2017-09-30 12:00:00	2.4	1.6	1.5	2.0	2.5	2.6	2.3	2.69	1.25	3.64
2017-09-30 13:00:00	2.5	1.5	1.5	2.2	2.1	2.3	2.0	2.07	0.62	3.02
2017-09-30 14:00:00	2.6	1.4	1.6	2.3	1.8	1.9	1.7	1.44	0.03	2.36
2017-09-30 15:00:00	2.6	1.3	1.6	2.2	1.6	1.7	1.7	1.02	-0.39	1.94
2017-09-30 16:00:00	2.4	1.3	1.6	2.0	1.7	1.7	1.9	0.82	-0.59	1.74
2017-09-30 17:00:00	2.1	1.4	1.7	1.8	2.0	2.0	2.2	0.92	-0.46	1.8
