Datetime(UTC)	BISM2	BLTM2	APAM2	SLIM2	KPTV2	SWPV2	WASD2	AXTV2	GTND2
2017-10-09 13:00:00	1.3	2.4	2.2	1.4	2.2	1.5	2.39	1.08	3.38
2017-10-09 14:00:00	1.0	2.4	2.1	1.2	3.0	2.3	3.48	2.07	4.49
2017-10-09 15:00:00	0.9	2.4	1.8	1.0	3.5	2.9	4.07	2.62	5.09
2017-10-09 16:00:00	1.1	2.1	1.6	0.9	3.6	3.3	4.0	2.56	5.02
2017-10-09 17:00:00	1.4	1.8	1.3	1.1	3.4	3.2	3.41	2.03	4.43
2017-10-09 18:00:00	2.1	1.5	1.2	1.5	2.8	2.8	2.69	1.31	3.71
2017-10-09 19:00:00	2.6	1.0	1.0	1.7	2.1	2.1	2.03	0.69	3.05
2017-10-09 20:00:00	3.0	1.3	1.4	2.2	1.3	1.5	1.54	0.2	2.56
2017-10-09 21:00:00	3.1	1.4	1.6	2.4	0.6	0.8	1.18	-0.16	2.2
2017-10-09 22:00:00	2.9	1.6	1.9	2.4	0.3	0.3	0.89	-0.46	1.9
2017-10-09 23:00:00	2.5	2.0	2.2	2.3	0.3	0.2	0.75	-0.56	1.74
2017-10-10 00:00:00	2.1	2.4	2.4	2.0	0.7	0.4	1.12	-0.2	2.07
2017-10-10 01:00:00	1.7	2.7	2.5	1.7	1.4	0.8	2.07	0.75	3.02
2017-10-10 02:00:00	1.3	2.8	2.4	1.4	2.0	1.4	3.18	1.8	4.2
2017-10-10 03:00:00	1.0	2.8	2.3	1.2	2.6	2.0	3.94	2.49	4.92
2017-10-10 04:00:00	0.9	2.6	2.0	1.1	2.9	2.5	4.1	2.69	5.09
2017-10-10 05:00:00	1.0	2.3	1.8	1.2	2.7	2.5	3.84	2.39	4.82
2017-10-10 06:00:00	1.4	2.0	1.5	1.3	2.3	2.3	3.22	1.8	4.2
2017-10-10 07:00:00	1.9	1.6	1.2	1.6	1.7	1.9	2.43	0.98	3.41
2017-10-10 08:00:00	2.3	1.3	1.2	1.9	1.0	1.2	1.67	0.26	2.62
2017-10-10 09:00:00	2.6	1.2	1.3	2.1	0.4	0.6	1.12	-0.26	2.07
2017-10-10 10:00:00	2.4	1.2	1.3	2.1	0.1	0.2	0.75	-0.66	1.71
