Datetime(UTC)	BISM2	BLTM2	APAM2	SLIM2	KPTV2	SWPV2	WASD2	AXTV2	GTND2
2017-10-04 12:00:00	0.7	1.9	1.4	1.0	3.4	3.3	3.94	2.49	4.92
2017-10-04 13:00:00	0.9	1.7	1.2	1.1	3.2	3.5	3.71	2.26	4.69
2017-10-04 14:00:00	1.4	1.4	1.0	1.4	2.9	3.2	3.15	1.71	4.13
2017-10-04 15:00:00	2.0	1.1	0.9	1.7	2.2	2.6	2.39	0.98	3.35
2017-10-04 16:00:00	2.4	0.9	1.0	2.0	1.4	1.9	1.67	0.3	2.66
2017-10-04 17:00:00	2.6	0.9	1.1	2.2	0.7	1.3	1.18	-0.23	2.13
2017-10-04 18:00:00	2.5	1.0	1.4	2.2	0.3	0.7	0.82	-0.59	1.77
2017-10-04 19:00:00	2.2	1.3	1.6	2.1	0.4	0.6	0.62	-0.75	1.57
2017-10-04 20:00:00	1.7	1.6	1.8	1.8	0.8	0.7	0.82	-0.49	1.77
2017-10-04 21:00:00	1.3	1.9	1.9	1.6	1.5	1.2	1.54	0.23	2.49
2017-10-04 22:00:00	0.9	2.1	2.0	1.3	2.3	1.9	2.62	1.25	3.58
2017-10-04 23:00:00	0.6	2.2	1.8	1.1	2.9	2.6	3.51	2.07	4.49
2017-10-05 00:00:00	0.6	2.1	1.6	1.0	3.4	3.2	3.81	2.36	4.79
2017-10-05 01:00:00	0.8	1.8	1.5	1.2	3.3	3.4	3.61	2.2	4.59
2017-10-05 02:00:00	1.2	1.6	1.3	1.4	2.9	3.2	3.12	1.71	4.1
2017-10-05 03:00:00	1.8	1.3	1.2	1.8	2.3	2.7	2.43	1.02	3.41
2017-10-05 04:00:00	2.3	1.2	1.2	2.1	1.5	2.0	1.71	0.33	2.69
2017-10-05 05:00:00	2.6	1.1	1.4	2.3	0.7	1.3	1.15	-0.23	2.1
2017-10-05 06:00:00	2.6	1.2	1.6	2.4	0.2	0.6	0.79	-0.59	1.74
2017-10-05 07:00:00	2.4	1.4	1.8	2.3	0.2	0.4	0.52	-0.85	1.48
2017-10-05 08:00:00	2.1	1.7	2.0	2.1	0.6	0.5	0.52	-0.79	1.48
2017-10-05 09:00:00	1.6	2.0	2.1	1.8	1.3	1.0	1.12	-0.2	2.07
2017-10-05 10:00:00	1.2	2.2	2.0	1.5	2.1	1.7	2.17	0.82	3.08
2017-10-05 11:00:00	0.9	2.3	1.9	1.1	2.8	2.5	3.15	1.74	4.13
2017-10-05 12:00:00	0.7	2.0	1.6	0.9	3.4	3.1	3.67	2.23	4.63
2017-10-05 13:00:00	0.8	1.8	1.4	0.9	3.5	3.6	3.74	2.3	4.72
2017-10-05 14:00:00	1.1	1.5	1.0	1.1	3.3	3.4	3.44	2.03	4.43
2017-10-05 15:00:00	1.6	1.2	0.9	1.4	2.7	3.0	2.89	1.48	3.87
2017-10-05 16:00:00	2.2	0.9	0.8	1.8	1.9	2.3	2.23	0.79	3.22
2017-10-05 17:00:00	2.7	0.7	1.0	2.1	1.0	1.5	1.54	0.13	2.49
2017-10-05 18:00:00	2.7	0.8	1.2	2.1	0.4	0.9	1.02	-0.36	1.97
2017-10-05 19:00:00	2.5	1.0	1.5	2.2	0.1	0.4	0.75	-0.62	1.71
2017-10-05 20:00:00	2.1	1.3	1.7	2.0	0.3	0.3	0.62	-0.72	1.57
2017-10-05 21:00:00	1.6	1.7	1.8	1.6	0.8	0.6	0.92	-0.39	1.84
2017-10-05 22:00:00	1.2	2.0	1.9	1.3	1.6	1.2	1.8	0.49	2.72
2017-10-05 23:00:00	0.8	2.0	1.8	1.0	2.3	2.0	2.92	1.51	3.87
2017-10-06 00:00:00	0.5	2.0	1.6	0.9	2.9	2.7	3.64	2.2	4.59
2017-10-06 01:00:00	0.4	1.8	1.3	0.7	3.3	3.1	3.81	2.39	4.79
2017-10-06 02:00:00	0.7	1.5	1.1	0.8	3.1	3.2	3.54	2.1	4.53
2017-10-06 03:00:00	1.2	1.3	0.9	1.1	2.6	2.9	2.89	1.44	3.84
2017-10-06 04:00:00	1.9	0.9	0.8	1.5	1.8	2.2	2.1	0.69	3.08
2017-10-06 05:00:00	2.4	0.8	0.8	1.8	0.9	1.5	1.44	0.07	2.39
2017-10-06 06:00:00	2.7	0.7	1.0	2.0	0.2	0.6	0.98	-0.43	1.94
2017-10-06 07:00:00	2.6	0.8	1.2	2.1	-0.2	0.0	0.59	-0.82	1.54
2017-10-06 08:00:00	2.2	1.0	1.5	2.0	-0.1	-0.1	0.3	-1.08	1.21
2017-10-06 09:00:00	1.8	1.4	1.6	1.7	0.4	0.2	0.33	-1.02	1.25
2017-10-06 10:00:00	1.2	1.7	1.7	1.4	1.2	0.8	1.08	-0.23	2.0
2017-10-06 11:00:00	0.7	1.8	1.7	1.0	2.1	1.6	2.26	0.92	3.22
2017-10-06 12:00:00	0.5	1.8	1.5	0.8	2.8	2.5	3.25	1.8	4.23
2017-10-06 13:00:00	0.3	1.6	1.2	0.6	3.4	3.2			
2017-10-06 14:00:00	0.5	1.3	0.9	0.6	3.4	3.4			
2017-10-06 15:00:00	0.9	1.0	0.7	0.8	3.0	3.3			
2017-10-06 16:00:00	1.5	0.7	0.6	1.1	2.4	2.8			
2017-10-06 17:00:00	2.2	0.5	0.6	1.5	1.5	2.0			
2017-10-06 18:00:00	2.6	0.5	0.7	1.8	0.7	1.3			
2017-10-06 19:00:00	2.5	0.6	1.0	1.9	0.2	0.6			
2017-10-06 20:00:00	2.2	0.8	1.3	2.0	0.0	0.1			
2017-10-06 21:00:00	1.8	1.2	1.5	1.8	0.3	0.3			
2017-10-06 22:00:00	1.3	1.6	1.8	1.5	0.9	0.7			
2017-10-06 23:00:00	1.0	1.9	1.9	1.2	1.8	1.4			
2017-10-07 00:00:00	0.6	2.0	1.8	0.9	2.6	2.1			
2017-10-07 01:00:00	0.4	2.0	1.6	0.7	3.2	2.9			
2017-10-07 02:00:00	0.5	1.8	1.3	0.7	3.4	3.3			
2017-10-07 03:00:00	0.8	1.5	1.1	0.9	3.1	3.2			
2017-10-07 04:00:00	1.4	1.3	1.0	1.2	2.5	2.9			
2017-10-07 05:00:00	2.1	1.1	0.9	1.6	1.6	2.2			
2017-10-07 06:00:00	2.6				0.7	1.3			
2017-10-07 07:00:00	2.7				0.1	0.6			
