Datetime(UTC)	BISM2	BLTM2	APAM2	SLIM2	KPTV2	SWPV2	WASD2	AXTV2	GTND2
2017-10-03 07:00:00	2.0	1.9							
2017-10-03 08:00:00	1.6	2.2							
2017-10-03 09:00:00	1.2	2.3							
2017-10-03 10:00:00	1.0	2.3							
2017-10-03 11:00:00	0.9	2.1							
2017-10-03 12:00:00	1.1	2.0							
2017-10-03 13:00:00	1.5	1.7							
2017-10-03 14:00:00	1.9	1.5							
2017-10-03 15:00:00	2.3	1.3							
2017-10-03 16:00:00	2.5	1.2							
2017-10-03 17:00:00	2.5	1.2							
2017-10-03 18:00:00	2.3	1.4							
2017-10-03 19:00:00	1.9	1.7							
2017-10-03 20:00:00	1.6	2.0							
2017-10-03 21:00:00	1.2	2.1							
2017-10-03 22:00:00	0.8	2.2							
2017-10-03 23:00:00	0.7	2.1							
2017-10-04 00:00:00	0.8	2.1							
2017-10-04 01:00:00	1.2	1.9							
2017-10-04 02:00:00	1.8	1.7							
2017-10-04 03:00:00	2.3	1.5							
2017-10-04 04:00:00	2.6	1.4							
2017-10-04 05:00:00	2.7	1.5							
2017-10-04 06:00:00	2.5	1.7							
2017-10-04 07:00:00	2.1	2.0							
2017-10-04 08:00:00	1.7	2.3							
2017-10-04 09:00:00	1.3	2.5							
2017-10-04 10:00:00	0.9	2.6							
2017-10-04 11:00:00	0.7	2.5							
2017-10-04 12:00:00	0.7	2.3							
2017-10-04 13:00:00	0.9	2.1							
2017-10-04 14:00:00	1.4	1.8							
2017-10-04 15:00:00	2.0	1.5							
2017-10-04 16:00:00	2.4	1.2							
2017-10-04 17:00:00	2.6	1.2							
2017-10-04 18:00:00	2.5	1.3							
2017-10-04 19:00:00	2.2	1.6							
2017-10-04 20:00:00	1.7	1.9							
2017-10-04 21:00:00	1.3	2.2							
2017-10-04 22:00:00	0.9	2.4							
2017-10-04 23:00:00	0.6	2.4							
2017-10-05 00:00:00	0.6	2.3							
2017-10-05 01:00:00	0.8	2.0	1.6	1.1	3.4	3.5	3.64	2.2	4.63
2017-10-05 02:00:00	1.2	1.8	1.4	1.3	3.0	3.3	3.15	1.74	4.13
2017-10-05 03:00:00	1.8	1.5	1.3	1.6	2.3	2.7	2.43	1.02	3.41
2017-10-05 04:00:00	2.3	1.4	1.3	1.9	1.5	2.0	1.67	0.3	2.66
2017-10-05 05:00:00	2.6	1.3	1.5	2.2	0.7	1.3	1.12	-0.26	2.07
2017-10-05 06:00:00	2.6	1.4	1.7	2.3	0.2	0.5	0.75	-0.62	1.74
2017-10-05 07:00:00	2.4	1.6	1.9	2.2	0.1	0.2	0.52	-0.85	1.48
2017-10-05 08:00:00	2.1	1.9	2.1	2.0	0.5	0.3	0.59	-0.75	1.51
2017-10-05 09:00:00	1.6	2.2	2.2	1.6	1.2	0.8	1.21	-0.1	2.13
2017-10-05 10:00:00	1.2	2.4	2.1	1.3	2.1	1.5	2.23	0.89	3.18
2017-10-05 11:00:00	0.9	2.5	2.0	1.0	2.8	2.3	3.18	1.77	4.2
2017-10-05 12:00:00	0.8	2.2	1.7	0.8	3.2	2.9	3.67	2.26	4.66
2017-10-05 13:00:00	0.8	2.0	1.5	0.8	3.4	3.3	3.74	2.33	4.72
2017-10-05 14:00:00	1.1	1.7	1.1	1.0	3.2	3.2	3.44	2.03	4.43
2017-10-05 15:00:00	1.6	1.4	1.0	1.3	2.6	2.8	2.92	1.51	3.9
2017-10-05 16:00:00	2.2	1.2	0.9	1.7	1.7	2.1	2.23	0.82	3.22
2017-10-05 17:00:00	2.7	0.9	1.1	2.0	0.9	1.3	1.54	0.13	2.49
2017-10-05 18:00:00	2.7	1.0	1.3	2.1	0.2	0.6	0.98	-0.39	1.94
2017-10-05 19:00:00	2.5	1.2	1.6	2.2	0.0	0.2	0.69	-0.69	1.64
2017-10-05 20:00:00	2.1		1.8	1.9	0.2	0.1	0.62	-0.72	1.57
2017-10-05 21:00:00	1.6		2.0	1.5	0.7	0.4	1.02	-0.33	1.94
2017-10-05 22:00:00	1.2		2.0	1.2	1.5	1.0	1.94	0.62	2.85
2017-10-05 23:00:00	0.8		1.9	0.9	2.2	1.8	3.02	1.61	4.0
2017-10-06 00:00:00	0.5		1.7	0.7	2.9	2.5	3.71	2.26	4.66
