Datetime(UTC)	BISM2	BLTM2	APAM2	SLIM2	KPTV2	SWPV2	WASD2	AXTV2	GTND2
2017-10-04 19:00:00	2.2	1.6	2.0	2.5	0.4	0.6	0.89	-0.49	1.84
2017-10-04 20:00:00	1.7	1.9	2.2	2.2	0.8	0.7	0.98	-0.39	1.94
2017-10-04 21:00:00	1.3	2.2	2.3	1.9	1.5	1.2	1.41	0.1	2.36
2017-10-04 22:00:00	0.9	2.4	2.3	1.6	2.3	1.9	2.3	0.98	3.25
2017-10-04 23:00:00	0.6	2.4	2.1	1.4	2.9	2.6	3.28	1.87	4.27
2017-10-05 00:00:00	0.6	2.3	1.9	1.3	3.4	3.2	3.74	2.3	4.72
2017-10-05 01:00:00	0.8	2.0	1.7	1.4	3.3	3.4	3.64	2.2	4.63
2017-10-05 02:00:00	1.2	1.8	1.5	1.6	2.9	3.2	3.15	1.74	4.13
2017-10-05 03:00:00	1.8	1.5	1.4	2.0	2.3	2.7	2.43	1.02	3.41
2017-10-05 04:00:00	2.3	1.4	1.4	2.3	1.5	2.0	1.67	0.3	2.66
2017-10-05 05:00:00	2.6	1.3	1.6	2.5	0.7	1.3	1.12	-0.26	2.07
2017-10-05 06:00:00	2.6	1.4	1.8	2.6	0.2	0.6	0.75	-0.62	1.74
2017-10-05 07:00:00	2.4	1.6	2.0	2.5	0.2	0.4	0.52	-0.85	1.48
2017-10-05 08:00:00	2.1	1.9	2.2	2.3	0.6	0.5	0.59	-0.75	1.51
2017-10-05 09:00:00	1.6	2.2	2.3	2.0	1.3	1.0	1.21	-0.1	2.13
2017-10-05 10:00:00	1.2	2.4	2.2	1.7	2.1	1.7	2.23	0.89	3.18
2017-10-05 11:00:00	0.9	2.5	2.1	1.4	2.8	2.5	3.18	1.77	4.2
2017-10-05 12:00:00	0.7	2.2	1.8	1.1	3.4	3.1	3.67	2.26	4.66
2017-10-05 13:00:00	0.8	2.0	1.6	1.1	3.5	3.6	3.74	2.33	4.72
2017-10-05 14:00:00	1.1	1.7	1.3	1.3	3.3	3.4	3.44	2.03	4.43
2017-10-05 15:00:00	1.6	1.4	1.1	1.6	2.7	3.0	2.92	1.51	3.9
2017-10-05 16:00:00	2.2	1.1	1.0	2.0	1.9	2.3	2.23	0.82	3.22
2017-10-05 17:00:00	2.7	0.9	1.2	2.3	1.0	1.5	1.54	0.13	2.49
2017-10-05 18:00:00	2.7	1.0	1.4	2.4	0.4	0.9	0.98	-0.39	1.94
2017-10-05 19:00:00	2.5	1.2	1.7	2.5	0.1	0.4	0.69	-0.69	1.64
2017-10-05 20:00:00	2.1	1.5	1.9	2.3	0.3	0.3	0.62	-0.72	1.57
2017-10-05 21:00:00	1.6	1.9	2.1	1.8	0.8	0.6	1.02	-0.33	1.94
2017-10-05 22:00:00	1.2	2.2	2.1	1.5	1.6	1.2	1.94	0.62	2.85
2017-10-05 23:00:00	0.8	2.2	2.0	1.2	2.3	2.0	3.02	1.61	4.0
2017-10-06 00:00:00	0.5	2.2	1.8	1.1	2.9	2.7	3.71	2.26	4.66
2017-10-06 01:00:00	0.4	2.0	1.6	0.9	3.3	3.1	3.84	2.43	4.82
2017-10-06 02:00:00	0.7	1.7	1.3	1.0	3.1	3.2	3.54	2.13	4.53
2017-10-06 03:00:00	1.2	1.5	1.1	1.3	2.6	2.9	2.89	1.48	3.87
2017-10-06 04:00:00	1.9	1.2	1.0	1.7	1.8	2.2	2.13	0.72	3.12
2017-10-06 05:00:00	2.4	1.0	1.0	2.0	0.9	1.5	1.48	0.1	2.46
2017-10-06 06:00:00	2.7	0.9	1.2	2.2	0.2	0.6	1.02	-0.39	1.97
2017-10-06 07:00:00	2.6	1.0	1.4	2.3	-0.2	0.0	0.62	-0.79	1.57
2017-10-06 08:00:00	2.2	1.2	1.7	2.2	-0.1	-0.1	0.3	-1.08	1.25
2017-10-06 09:00:00	1.8	1.6	1.8	1.9	0.4	0.2	0.3	-1.02	1.21
2017-10-06 10:00:00	1.2	1.9	1.9	1.6	1.2	0.8	1.05	-0.26	1.97
2017-10-06 11:00:00	0.7	2.0	1.9	1.2	2.1	1.6	2.23	0.89	3.18
2017-10-06 12:00:00	0.5	2.0	1.7	1.0	2.8	2.5	3.22	1.77	4.2
2017-10-06 13:00:00	0.3	1.8	1.4	0.8	3.4	3.2	3.61	2.17	4.59
2017-10-06 14:00:00	0.5	1.5	1.1	0.8	3.4	3.4	3.48	2.03	4.46
2017-10-06 15:00:00	0.9	1.2	0.9	1.1	3.0	3.3	2.92	1.51	3.9
2017-10-06 16:00:00	1.5	0.9	0.8	1.4	2.4	2.8	2.23	0.82	3.22
2017-10-06 17:00:00	2.2	0.7	0.8	1.8	1.5	2.0	1.54	0.13	2.53
2017-10-06 18:00:00	2.6	0.7	1.0	2.2	0.7	1.3	0.95	-0.43	1.9
2017-10-06 19:00:00	2.5	0.8	1.3	2.3	0.2	0.6	0.56	-0.85	1.51
2017-10-06 20:00:00	2.2	1.0	1.6	2.2	0.0	0.1	0.3	-1.08	1.25
2017-10-06 21:00:00	1.8	1.4	1.8	2.0	0.3	0.3	0.39	-0.95	1.31
2017-10-06 22:00:00	1.3	1.8	2.0	1.7	0.9	0.7	1.12	-0.2	2.03
2017-10-06 23:00:00	1.0	2.1	2.1	1.4	1.8	1.4	2.26	0.89	3.18
2017-10-07 00:00:00	0.6	2.2	2.0	1.1	2.6	2.1	3.28	1.84	4.27
2017-10-07 01:00:00	0.4	2.2	1.8	0.9	3.2	2.9	3.74	2.33	4.72
2017-10-07 02:00:00	0.5	2.0	1.5	0.9	3.4	3.3	3.77	2.33	4.76
2017-10-07 03:00:00	0.8	1.7	1.3	1.1	3.1	3.2	3.35	1.94	4.33
2017-10-07 04:00:00	1.4	1.5	1.2	1.4	2.5	2.9	2.62	1.21	3.61
2017-10-07 05:00:00	2.1	1.3	1.1	1.8	1.6	2.2	1.84	0.46	2.82
2017-10-07 06:00:00	2.6	1.1	1.2	2.1	0.7	1.3	1.21	-0.16	2.2
2017-10-07 07:00:00	2.7	1.1	1.4	2.3	0.1	0.6	0.82	-0.56	1.8
