Datetime(UTC)	BISM2	BLTM2	APAM2	SLIM2	KPTV2	SWPV2	WASD2	AXTV2	GTND2
2017-10-07 19:00:00	2.9	0.6	1.0	1.9	0.5	1.0	1.05	-0.3	2.03
2017-10-07 20:00:00	2.8	0.9	1.3	2.0	0.0	0.4	0.75	-0.62	1.74
2017-10-07 21:00:00	2.5	1.2	1.8	2.0	-0.1	0.1	0.62	-0.75	1.57
2017-10-07 22:00:00	2.0	1.7	2.0	1.9	0.4	0.2	0.79	-0.52	1.74
2017-10-07 23:00:00	1.5	2.1	2.3	1.6	1.1	0.7	1.54	0.26	2.49
2017-10-08 00:00:00	1.1	2.5	2.4	1.3	2.0	1.5	2.76	1.41	3.74
2017-10-08 01:00:00	0.9	2.6	2.3	1.0	2.7	2.3	3.77	2.36	4.79
2017-10-08 02:00:00	0.7	2.6	2.2	0.9	3.1	3.0	4.2	2.79	5.22
2017-10-08 03:00:00	0.8	2.4	1.9	0.9	3.2	3.1	4.13	2.72	5.15
2017-10-08 04:00:00	1.3	2.1	1.8	1.2	2.9	3.0	3.64	2.26	4.69
2017-10-08 05:00:00	1.9	1.8	1.7	1.6	2.1	2.6	2.92	1.51	3.94
2017-10-08 06:00:00	2.5	1.7	1.6	1.9	1.2	1.8	2.13	0.79	3.18
2017-10-08 07:00:00	3.0	1.6	1.7	2.2	0.5	0.9	1.57	0.23	2.59
2017-10-08 08:00:00	3.0	1.6	2.0	2.4	-0.1	0.2	1.15	-0.2	2.17
2017-10-08 09:00:00	2.8	1.8	2.2	2.3	-0.2	-0.1	0.85	-0.46	1.87
2017-10-08 10:00:00	2.3	2.0	2.4	2.2	0.2	0.1	0.89	-0.43	1.87
2017-10-08 11:00:00	1.8	2.3	2.5	1.9	0.9	0.5	1.41	0.16	2.39
2017-10-08 12:00:00	1.3	2.5	2.5	1.5	1.9	1.3	2.49	1.21	3.48
2017-10-08 13:00:00	1.0	2.6	2.4	1.2	2.8	2.2	3.54	2.17	4.59
2017-10-08 14:00:00	0.8	2.5	2.1	1.0	3.4	3.0	4.07	2.66	5.09
2017-10-08 15:00:00	0.9	2.2	1.8	1.0	3.6	3.4	4.07	2.66	5.09
2017-10-08 16:00:00	1.2	1.9	1.6	1.2	3.4	3.5	3.64	2.23	4.63
2017-10-08 17:00:00	1.8	1.6	1.4	1.5	2.7	3.1	2.92	1.51	3.9
2017-10-08 18:00:00	2.5	1.3	1.3	1.9	2.0	2.5	2.13	0.75	3.12
2017-10-08 19:00:00	3.0	1.2	1.4	2.3	1.0	1.6	1.48	0.1	2.46
2017-10-08 20:00:00	3.1	1.2	1.7	2.4	0.3	0.8	1.05	-0.33	2.03
2017-10-08 21:00:00	2.9	1.4	1.9	2.4	-0.1	0.3	0.75	-0.62	1.74
2017-10-08 22:00:00	2.5	1.8	2.2	2.3	-0.1	0.1	0.62	-0.72	1.57
2017-10-08 23:00:00	2.0	2.2	2.5	2.1	0.4	0.2	0.98	-0.33	1.9
2017-10-09 00:00:00	1.5	2.6	2.6	1.7	1.2	0.8	1.94	0.62	2.89
2017-10-09 01:00:00	1.1	2.7	2.6	1.4	2.0	1.5	3.08	1.71	4.07
2017-10-09 02:00:00	0.8	2.8	2.4	1.2	2.6	2.3	3.87	2.43	4.86
2017-10-09 03:00:00	0.7	2.6	2.1	1.1	3.0	2.8	4.1	2.66	5.09
2017-10-09 04:00:00	0.8	2.3	1.9	1.1	3.0	3.0	3.87	2.46	4.86
2017-10-09 05:00:00	1.2	2.0	1.7	1.3	2.5	2.8	3.31	1.9	4.3
2017-10-09 06:00:00	1.8	1.8	1.5	1.6	1.8	2.2	2.56	1.12	3.54
2017-10-09 07:00:00	2.5	1.5	1.4	1.9	1.0	1.5	1.74	0.36	2.72
2017-10-09 08:00:00	2.8	1.4	1.5	2.1	0.3	0.7	1.15	-0.2	2.13
2017-10-09 09:00:00	2.7	1.3	1.7	2.2	-0.1	0.1	0.79	-0.59	1.77
2017-10-09 10:00:00	2.5	1.5	1.9	2.1	-0.2	-0.1	0.56	-0.82	1.51
2017-10-09 11:00:00	2.0	1.6	2.1	1.9	0.3	0.1	0.56	-0.75	1.51
2017-10-09 12:00:00	1.6	1.9	2.2	1.6	1.1	0.6	1.08	-0.2	2.03
2017-10-09 13:00:00	1.1	2.2	2.1	1.2	2.0	1.4	2.13	0.82	3.08
2017-10-09 14:00:00	0.8	2.2	2.0	1.0	2.8	2.3	3.22	1.84	4.23
2017-10-09 15:00:00	0.7	2.1	1.7	0.8	3.3	2.9	3.84	2.43	4.86
2017-10-09 16:00:00	1.0	1.8	1.6	0.8	3.4	3.3	3.84	2.43	4.86
2017-10-09 17:00:00	1.4	1.6	1.3	1.0	3.1	3.2	3.38	1.97	4.4
2017-10-09 18:00:00	2.0	1.3	1.2	1.4	2.5	2.8	2.66	1.28	3.67
2017-10-09 19:00:00	2.7	1.2	1.2	1.8	1.7	2.0	2.0	0.62	2.99
2017-10-09 20:00:00	3.1	1.2	1.4	2.1	0.9	1.2	1.48	0.1	2.46
2017-10-09 21:00:00	3.2	1.3	1.6	2.3	0.1	0.5	1.12	-0.26	2.1
2017-10-09 22:00:00	3.0	1.6	2.0	2.3	-0.2	0.0	0.82	-0.52	1.84
2017-10-09 23:00:00	2.5	1.9	2.3	2.2	-0.2	-0.2	0.69	-0.62	1.67
2017-10-10 00:00:00	2.1	2.3	2.5	1.9	0.3	0.1	1.05	-0.26	2.0
2017-10-10 01:00:00	1.6	2.7	2.7	1.6	1.0	0.6	1.97	0.66	2.92
2017-10-10 02:00:00	1.2	2.9	2.6	1.3	1.7	1.3	3.08	1.71	4.1
2017-10-10 03:00:00	0.9	2.9	2.5	1.1	2.3	1.8	3.87	2.43	4.86
2017-10-10 04:00:00	0.8	2.7	2.2	1.0	2.6	2.3	4.07	2.66	5.09
2017-10-10 05:00:00	0.8	2.3	2.0	1.1	2.4	2.4	3.84	2.43	4.86
2017-10-10 06:00:00	1.2	2.0	1.7	1.3	1.9	2.1	3.25	1.84	4.27
2017-10-10 07:00:00	1.8				1.3	1.7	2.43	1.02	3.44
