Datetime(UTC)	BISM2	BLTM2	APAM2	SLIM2	KPTV2	SWPV2	WASD2	AXTV2	GTND2
2017-10-07 01:00:00	0.3								
2017-10-07 02:00:00	0.4								
2017-10-07 03:00:00	0.7								
2017-10-07 04:00:00	1.3								
2017-10-07 05:00:00	2.0								
2017-10-07 06:00:00	2.6								
2017-10-07 07:00:00	2.7								
2017-10-07 08:00:00	2.5								
2017-10-07 09:00:00	2.1								
2017-10-07 10:00:00	1.6								
2017-10-07 11:00:00	1.0								
2017-10-07 12:00:00	0.7								
2017-10-07 13:00:00	0.5								
2017-10-07 14:00:00	0.5								
2017-10-07 15:00:00	0.8								
2017-10-07 16:00:00	1.4								
2017-10-07 17:00:00	2.1								
2017-10-07 18:00:00	2.6								
2017-10-07 19:00:00	2.9								
2017-10-07 20:00:00	2.8								
2017-10-07 21:00:00	2.4								
2017-10-07 22:00:00	2.0								
2017-10-07 23:00:00	1.5								
2017-10-08 00:00:00	1.1								
2017-10-08 01:00:00	0.9								
2017-10-08 02:00:00	0.7								
2017-10-08 03:00:00	0.8								
2017-10-08 04:00:00	1.3								
2017-10-08 05:00:00	1.9								
2017-10-08 06:00:00	2.4								
2017-10-08 07:00:00	2.9								
2017-10-08 08:00:00	2.9								
2017-10-08 09:00:00	2.8								
2017-10-08 10:00:00	2.3								
2017-10-08 11:00:00	1.8								
2017-10-08 12:00:00	1.3								
2017-10-08 13:00:00	0.9								
2017-10-08 14:00:00	0.7								
2017-10-08 15:00:00	0.9								
2017-10-08 16:00:00	1.2								
2017-10-08 17:00:00	1.8								
2017-10-08 18:00:00	2.4								
2017-10-08 19:00:00	3.0								
2017-10-08 20:00:00	3.1								
2017-10-08 21:00:00	2.9								
2017-10-08 22:00:00	2.5								
2017-10-08 23:00:00	2.0								
2017-10-09 00:00:00	1.5								
2017-10-09 01:00:00	1.1								
2017-10-09 02:00:00	0.8								
2017-10-09 03:00:00	0.7								
2017-10-09 04:00:00	0.8								
2017-10-09 05:00:00	1.3								
2017-10-09 06:00:00	1.9								
2017-10-09 07:00:00	2.5								
2017-10-09 08:00:00	2.8								
2017-10-09 09:00:00	2.7								
2017-10-09 10:00:00	2.5								
2017-10-09 11:00:00	2.0								
2017-10-09 12:00:00	1.6								
2017-10-09 13:00:00	1.2								
2017-10-09 14:00:00	0.9								
2017-10-09 15:00:00	0.7								
2017-10-09 16:00:00	1.1								
2017-10-09 17:00:00	1.5								
2017-10-09 18:00:00	2.2								
