	date	wse
0	2017-12-05 16:00:00	0.8
1	2017-12-05 17:00:00	-0.84
2	2017-12-05 18:00:00	0.24
3	2017-12-05 19:00:00	1.45
4	2017-12-05 20:00:00	2.37
5	2017-12-05 21:00:00	2.88
6	2017-12-05 22:00:00	2.93
7	2017-12-05 23:00:00	2.36
8	2017-12-06 00:00:00	1.7
9	2017-12-06 01:00:00	0.95
10	2017-12-06 02:00:00	0.27
11	2017-12-06 03:00:00	-0.41
12	2017-12-06 04:00:00	-0.76
13	2017-12-06 05:00:00	-1.01
14	2017-12-06 06:00:00	-0.84
15	2017-12-06 07:00:00	0.14
16	2017-12-06 08:00:00	1.16
17	2017-12-06 09:00:00	1.74
18	2017-12-06 10:00:00	2.02
19	2017-12-06 11:00:00	1.87
20	2017-12-06 12:00:00	1.16
21	2017-12-06 13:00:00	0.48
22	2017-12-06 14:00:00	-0.13
23	2017-12-06 15:00:00	-0.67
24	2017-12-06 16:00:00	-1.06
25	2017-12-06 17:00:00	-1.23
26	2017-12-06 18:00:00	-1.13
27	2017-12-06 19:00:00	-0.49
28	2017-12-06 20:00:00	0.61
29	2017-12-06 21:00:00	1.53
30	2017-12-06 22:00:00	2.1
31	2017-12-06 23:00:00	2.23
32	2017-12-07 00:00:00	1.83
33	2017-12-07 01:00:00	1.16
34	2017-12-07 02:00:00	0.39
35	2017-12-07 03:00:00	-0.32
36	2017-12-07 04:00:00	-0.87
37	2017-12-07 05:00:00	-1.3
38	2017-12-07 06:00:00	-1.48
39	2017-12-07 07:00:00	-1.04
40	2017-12-07 08:00:00	-0.1
41	2017-12-07 09:00:00	0.85
42	2017-12-07 10:00:00	1.55
43	2017-12-07 11:00:00	1.89
