	date	wse
0	2017-12-05 16:00:00	0.91
1	2017-12-05 17:00:00	0.91
2	2017-12-05 18:00:00	0.91
3	2017-12-05 19:00:00	0.93
4	2017-12-05 20:00:00	0.95
5	2017-12-05 21:00:00	0.99
6	2017-12-05 22:00:00	1.03
7	2017-12-05 23:00:00	1.08
8	2017-12-06 00:00:00	1.11
9	2017-12-06 01:00:00	1.14
10	2017-12-06 02:00:00	1.16
11	2017-12-06 03:00:00	1.2
12	2017-12-06 04:00:00	1.25
13	2017-12-06 05:00:00	1.32
14	2017-12-06 06:00:00	1.37
15	2017-12-06 07:00:00	1.45
16	2017-12-06 08:00:00	1.51
17	2017-12-06 09:00:00	1.55
18	2017-12-06 10:00:00	1.57
19	2017-12-06 11:00:00	1.59
20	2017-12-06 12:00:00	1.59
21	2017-12-06 13:00:00	1.57
22	2017-12-06 14:00:00	1.56
23	2017-12-06 15:00:00	1.56
24	2017-12-06 16:00:00	1.55
25	2017-12-06 17:00:00	1.58
26	2017-12-06 18:00:00	1.62
27	2017-12-06 19:00:00	1.66
28	2017-12-06 20:00:00	1.69
29	2017-12-06 21:00:00	1.69
30	2017-12-06 22:00:00	1.69
31	2017-12-06 23:00:00	1.68
32	2017-12-07 00:00:00	1.67
33	2017-12-07 01:00:00	1.64
34	2017-12-07 02:00:00	1.62
35	2017-12-07 03:00:00	1.59
36	2017-12-07 04:00:00	1.58
37	2017-12-07 05:00:00	1.57
38	2017-12-07 06:00:00	1.56
39	2017-12-07 07:00:00	1.57
40	2017-12-07 08:00:00	1.61
41	2017-12-07 09:00:00	1.62
42	2017-12-07 10:00:00	1.63
43	2017-12-07 11:00:00	1.63
