	date	wse
0	2017-12-05 16:00:00	0.54
1	2017-12-05 17:00:00	1.19
2	2017-12-05 18:00:00	1.37
3	2017-12-05 19:00:00	1.25
4	2017-12-05 20:00:00	0.99
5	2017-12-05 21:00:00	0.87
6	2017-12-05 22:00:00	0.84
7	2017-12-05 23:00:00	1.06
8	2017-12-06 00:00:00	1.37
9	2017-12-06 01:00:00	1.69
10	2017-12-06 02:00:00	1.95
11	2017-12-06 03:00:00	2.11
12	2017-12-06 04:00:00	2.12
13	2017-12-06 05:00:00	2.05
14	2017-12-06 06:00:00	1.76
15	2017-12-06 07:00:00	1.43
16	2017-12-06 08:00:00	1.19
17	2017-12-06 09:00:00	1.0
18	2017-12-06 10:00:00	0.84
19	2017-12-06 11:00:00	0.83
20	2017-12-06 12:00:00	1.07
21	2017-12-06 13:00:00	1.38
22	2017-12-06 14:00:00	1.64
23	2017-12-06 15:00:00	1.8
24	2017-12-06 16:00:00	1.89
25	2017-12-06 17:00:00	1.76
26	2017-12-06 18:00:00	1.49
27	2017-12-06 19:00:00	1.26
28	2017-12-06 20:00:00	0.93
29	2017-12-06 21:00:00	0.65
30	2017-12-06 22:00:00	0.47
31	2017-12-06 23:00:00	0.46
32	2017-12-07 00:00:00	0.64
33	2017-12-07 01:00:00	0.89
34	2017-12-07 02:00:00	1.23
35	2017-12-07 03:00:00	1.47
36	2017-12-07 04:00:00	1.66
37	2017-12-07 05:00:00	1.72
38	2017-12-07 06:00:00	1.63
39	2017-12-07 07:00:00	1.34
40	2017-12-07 08:00:00	1.05
41	2017-12-07 09:00:00	0.81
42	2017-12-07 10:00:00	0.62
43	2017-12-07 11:00:00	0.54
