	date	wse
0	2017-12-05 16:00:00	0.54
1	2017-12-05 17:00:00	1.27
2	2017-12-05 18:00:00	1.41
3	2017-12-05 19:00:00	1.25
4	2017-12-05 20:00:00	0.98
5	2017-12-05 21:00:00	0.86
6	2017-12-05 22:00:00	0.84
7	2017-12-05 23:00:00	1.08
8	2017-12-06 00:00:00	1.4
9	2017-12-06 01:00:00	1.74
10	2017-12-06 02:00:00	2.0
11	2017-12-06 03:00:00	2.15
12	2017-12-06 04:00:00	2.14
13	2017-12-06 05:00:00	2.06
14	2017-12-06 06:00:00	1.74
15	2017-12-06 07:00:00	1.4
16	2017-12-06 08:00:00	1.17
17	2017-12-06 09:00:00	0.98
18	2017-12-06 10:00:00	0.81
19	2017-12-06 11:00:00	0.83
20	2017-12-06 12:00:00	1.08
21	2017-12-06 13:00:00	1.42
22	2017-12-06 14:00:00	1.67
23	2017-12-06 15:00:00	1.82
24	2017-12-06 16:00:00	1.91
25	2017-12-06 17:00:00	1.75
26	2017-12-06 18:00:00	1.47
27	2017-12-06 19:00:00	1.23
28	2017-12-06 20:00:00	0.89
29	2017-12-06 21:00:00	0.61
30	2017-12-06 22:00:00	0.44
31	2017-12-06 23:00:00	0.45
32	2017-12-07 00:00:00	0.64
33	2017-12-07 01:00:00	0.9
34	2017-12-07 02:00:00	1.26
35	2017-12-07 03:00:00	1.5
36	2017-12-07 04:00:00	1.69
37	2017-12-07 05:00:00	1.74
38	2017-12-07 06:00:00	1.62
39	2017-12-07 07:00:00	1.32
40	2017-12-07 08:00:00	1.02
41	2017-12-07 09:00:00	0.77
42	2017-12-07 10:00:00	0.59
43	2017-12-07 11:00:00	0.53
