	elev
2016-05-30 19:00:00	0.05181600000000001
2016-05-30 20:00:00	-0.05181600000000001
2016-05-30 21:00:00	-0.112776
2016-05-30 22:00:00	-0.08229600000000001
2016-05-30 23:00:00	0.088392
2016-05-31 00:00:00	0.32308800000000004
2016-05-31 01:00:00	0.536448
2016-05-31 02:00:00	0.679704
2016-05-31 03:00:00	0.71628
2016-05-31 04:00:00	0.6339840000000001
2016-05-31 05:00:00	0.475488
2016-05-31 06:00:00	0.29565600000000003
2016-05-31 07:00:00	0.131064
2016-05-31 08:00:00	-0.009144
2016-05-31 09:00:00	-0.112776
2016-05-31 10:00:00	-0.155448
2016-05-31 11:00:00	-0.08534400000000002
2016-05-31 12:00:00	0.12192000000000001
2016-05-31 13:00:00	0.374904
2016-05-31 14:00:00	0.569976
2016-05-31 15:00:00	0.667512
2016-05-31 16:00:00	0.65532
2016-05-31 17:00:00	0.515112
2016-05-31 18:00:00	0.32918400000000003
2016-05-31 19:00:00	0.143256
2016-05-31 20:00:00	-0.024384000000000003
2016-05-31 21:00:00	-0.155448
2016-05-31 22:00:00	-0.23469600000000002
2016-05-31 23:00:00	-0.24384000000000003
2016-06-01 00:00:00	-0.070104
2016-06-01 01:00:00	0.192024
2016-06-01 02:00:00	0.445008
2016-06-01 03:00:00	0.62484
2016-06-01 04:00:00	0.6918960000000001
2016-06-01 05:00:00	0.6400800000000001
2016-06-01 06:00:00	0.48463200000000006
2016-06-01 07:00:00	0.286512
2016-06-01 08:00:00	0.100584
2016-06-01 09:00:00	-0.05181600000000001
2016-06-01 10:00:00	-0.173736
2016-06-01 11:00:00	-0.24688800000000002
2016-06-01 12:00:00	-0.222504
2016-06-01 13:00:00	-0.033528
2016-06-01 14:00:00	0.237744
2016-06-01 15:00:00	0.475488
2016-06-01 16:00:00	0.600456
2016-06-01 17:00:00	0.62484
2016-06-01 18:00:00	0.509016
2016-06-01 19:00:00	0.33528
2016-06-01 20:00:00	0.16154400000000002
2016-06-01 21:00:00	0.012192000000000001
2016-06-01 22:00:00	-0.10668
2016-06-01 23:00:00	-0.173736
2016-06-02 00:00:00	-0.13716
2016-06-02 01:00:00	0.067056
2016-06-02 02:00:00	0.32918400000000003
2016-06-02 03:00:00	0.5516880000000001
2016-06-02 04:00:00	0.694944
2016-06-02 05:00:00	0.7315200000000001
2016-06-02 06:00:00	0.6461760000000001
2016-06-02 07:00:00	0.475488
2016-06-02 08:00:00	0.27432
2016-06-02 09:00:00	0.09144000000000001
2016-06-02 10:00:00	-0.04267200000000001
2016-06-02 11:00:00	-0.155448
2016-06-02 12:00:00	-0.219456
2016-06-02 13:00:00	-0.17068800000000003
2016-06-02 14:00:00	0.039624000000000006
2016-06-02 15:00:00	0.313944
2016-06-02 16:00:00	0.5394960000000001
2016-06-02 17:00:00	0.661416
2016-06-02 18:00:00	0.67056
2016-06-02 19:00:00	0.5516880000000001
2016-06-02 20:00:00	0.362712
2016-06-02 21:00:00	0.17068800000000003
2016-06-02 22:00:00	0.006096000000000001
2016-06-02 23:00:00	-0.11582400000000001
2016-06-03 00:00:00	-0.18288000000000001
2016-06-03 01:00:00	-0.10668
2016-06-03 02:00:00	0.143256
2016-06-03 03:00:00	0.45720000000000005
2016-06-03 04:00:00	0.710184
2016-06-03 05:00:00	0.859536
