	8594900
2016-05-29 18:00:00	-0.025
2016-05-29 19:00:00	-0.119
2016-05-29 20:00:00	-0.208
2016-05-29 21:00:00	-0.267
2016-05-29 22:00:00	-0.214
2016-05-29 23:00:00	0.025
2016-05-30 00:00:00	0.293
2016-05-30 01:00:00	0.468
2016-05-30 02:00:00	0.539
2016-05-30 03:00:00	0.503
2016-05-30 04:00:00	0.372
2016-05-30 05:00:00	0.199
2016-05-30 06:00:00	0.032
2016-05-30 07:00:00	-0.108
2016-05-30 08:00:00	-0.213
2016-05-30 09:00:00	-0.273
2016-05-30 10:00:00	-0.214
2016-05-30 11:00:00	0.05
2016-05-30 12:00:00	0.332
2016-05-30 13:00:00	0.529
2016-05-30 14:00:00	0.633
2016-05-30 15:00:00	0.628
2016-05-30 16:00:00	0.516
2016-05-30 17:00:00	0.337
2016-05-30 18:00:00	0.158
2016-05-30 19:00:00	-0.0
2016-05-30 20:00:00	-0.121
2016-05-30 21:00:00	-0.191
2016-05-30 22:00:00	-0.18
2016-05-30 23:00:00	-0.017
2016-05-31 00:00:00	0.246
2016-05-31 01:00:00	0.481
2016-05-31 02:00:00	0.628
2016-05-31 03:00:00	0.669
2016-05-31 04:00:00	0.593
2016-05-31 05:00:00	0.437
2016-05-31 06:00:00	0.255
2016-05-31 07:00:00	0.082
2016-05-31 08:00:00	-0.053
2016-05-31 09:00:00	-0.174
2016-05-31 10:00:00	-0.242
2016-05-31 11:00:00	-0.195
2016-05-31 12:00:00	0.03
2016-05-31 13:00:00	0.316
2016-05-31 14:00:00	0.524
2016-05-31 15:00:00	0.625
2016-05-31 16:00:00	0.611
2016-05-31 17:00:00	0.481
2016-05-31 18:00:00	0.29
2016-05-31 19:00:00	0.098
2016-05-31 20:00:00	-0.072
2016-05-31 21:00:00	-0.214
2016-05-31 22:00:00	-0.311
2016-05-31 23:00:00	-0.345
2016-06-01 00:00:00	-0.202
2016-06-01 01:00:00	0.116
2016-06-01 02:00:00	0.397
2016-06-01 03:00:00	0.577
2016-06-01 04:00:00	0.652
2016-06-01 05:00:00	0.605
2016-06-01 06:00:00	0.451
2016-06-01 07:00:00	0.261
2016-06-01 08:00:00	0.073
2016-06-01 09:00:00	-0.094
2016-06-01 10:00:00	-0.223
2016-06-01 11:00:00	-0.322
2016-06-01 12:00:00	-0.336
2016-06-01 13:00:00	-0.14
2016-06-01 14:00:00	0.173
2016-06-01 15:00:00	0.42
2016-06-01 16:00:00	0.566
2016-06-01 17:00:00	0.587
2016-06-01 18:00:00	0.477
2016-06-01 19:00:00	0.297
2016-06-01 20:00:00	0.115
2016-06-01 21:00:00	-0.044
2016-06-01 22:00:00	-0.17
2016-06-01 23:00:00	-0.259
2016-06-02 00:00:00	-0.26
2016-06-02 01:00:00	-0.05
2016-06-02 02:00:00	0.263
2016-06-02 03:00:00	0.504
2016-06-02 04:00:00	0.649
2016-06-02 05:00:00	0.686
2016-06-02 06:00:00	0.606
2016-06-02 07:00:00	0.438
2016-06-02 08:00:00	0.236
2016-06-02 09:00:00	0.049
2016-06-02 10:00:00	-0.104
2016-06-02 11:00:00	-0.22
2016-06-02 12:00:00	-0.297
2016-06-02 13:00:00	-0.289
2016-06-02 14:00:00	-0.074
2016-06-02 15:00:00	0.248
2016-06-02 16:00:00	0.492
2016-06-02 17:00:00	0.62
2016-06-02 18:00:00	0.623
2016-06-02 19:00:00	0.519
2016-06-02 20:00:00	0.334
2016-06-02 21:00:00	0.136
2016-06-02 22:00:00	-0.043
2016-06-02 23:00:00	-0.184
2016-06-03 00:00:00	-0.273
2016-06-03 01:00:00	-0.239
2016-06-03 02:00:00	0.036
2016-06-03 03:00:00	0.389
2016-06-03 04:00:00	0.661
2016-06-03 05:00:00	0.816
2016-06-03 06:00:00	0.845
2016-06-03 07:00:00	0.754
2016-06-03 08:00:00	0.564
2016-06-03 09:00:00	0.347
2016-06-03 10:00:00	0.149
2016-06-03 11:00:00	-0.025
2016-06-03 12:00:00	-0.154
2016-06-03 13:00:00	-0.231
2016-06-03 14:00:00	-0.176
2016-06-03 15:00:00	0.108
2016-06-03 16:00:00	0.455
2016-06-03 17:00:00	0.683
2016-06-03 18:00:00	0.801
2016-06-03 19:00:00	0.786
2016-06-03 20:00:00	0.672
2016-06-03 21:00:00	0.476
2016-06-03 22:00:00	0.273
2016-06-03 23:00:00	0.097
2016-06-04 00:00:00	-0.042
2016-06-04 01:00:00	-0.136
2016-06-04 02:00:00	-0.104
2016-06-04 03:00:00	0.178
2016-06-04 04:00:00	0.529
2016-06-04 05:00:00	0.789
2016-06-04 06:00:00	0.93
2016-06-04 07:00:00	0.935
2016-06-04 08:00:00	0.811
2016-06-04 09:00:00	0.597
2016-06-04 10:00:00	0.368
2016-06-04 11:00:00	0.166
2016-06-04 12:00:00	0.006
2016-06-04 13:00:00	-0.115
2016-06-04 14:00:00	-0.193
2016-06-04 15:00:00	-0.16
2016-06-04 16:00:00	0.097
2016-06-04 17:00:00	0.442
2016-06-04 18:00:00	0.684
2016-06-04 19:00:00	0.785
2016-06-04 20:00:00	0.744
2016-06-04 21:00:00	0.596
2016-06-04 22:00:00	0.395
2016-06-04 23:00:00	0.204
2016-06-05 00:00:00	0.044
2016-06-05 01:00:00	-0.073
2016-06-05 02:00:00	-0.144
2016-06-05 03:00:00	-0.104
2016-06-05 04:00:00	0.21
2016-06-05 05:00:00	0.568
2016-06-05 06:00:00	0.802
2016-06-05 07:00:00	0.924
2016-06-05 08:00:00	0.928
2016-06-05 09:00:00	0.815
2016-06-05 10:00:00	0.633
2016-06-05 11:00:00	0.431
2016-06-05 12:00:00	0.247
2016-06-05 13:00:00	0.098
2016-06-05 14:00:00	-0.024
2016-06-05 15:00:00	-0.094
2016-06-05 16:00:00	-0.094
2016-06-05 17:00:00	0.124
2016-06-05 18:00:00	0.466
2016-06-05 19:00:00	0.706
2016-06-05 20:00:00	0.806
2016-06-05 21:00:00	0.763
2016-06-05 22:00:00	0.603
2016-06-05 23:00:00	0.405
2016-06-06 00:00:00	0.208
2016-06-06 01:00:00	0.044
2016-06-06 02:00:00	-0.092
