	RAS	OBS
2011-09-05 09:00:00	-0.017000000923871994	-0.049
2011-09-05 10:00:00	0.13199999928474426	0.085
2011-09-05 11:00:00	0.3310000002384186	0.305
2011-09-05 12:00:00	0.5059999823570251	0.512
2011-09-05 13:00:00	0.5950000286102295	0.637
2011-09-05 14:00:00	0.5759999752044678	0.655
2011-09-05 15:00:00	0.4620000123977661	0.564
2011-09-05 16:00:00	0.3050000071525574	0.39
2011-09-05 17:00:00	0.14499999582767487	0.232
2011-09-05 18:00:00	0.012000000104308128	0.088
2011-09-05 19:00:00	-0.08100000023841858	-0.055
2011-09-05 20:00:00	-0.12600000202655792	-0.149
2011-09-05 21:00:00	-0.09799999743700027	-0.149
2011-09-05 22:00:00	0.03200000151991844	0.009
2011-09-05 23:00:00	0.23899999260902405	0.241
2011-09-06 00:00:00	0.45399999618530273	0.475
2011-09-06 01:00:00	0.6029999852180481	0.634
2011-09-06 02:00:00	0.6639999747276306	0.692
2011-09-06 03:00:00	0.6320000290870667	0.677
2011-09-06 04:00:00	0.5170000195503235	0.561
2011-09-06 05:00:00	0.3569999933242798	0.372
2011-09-06 06:00:00	0.18799999356269836	0.183
2011-09-06 07:00:00	0.057999998331069946	0.027
2011-09-06 08:00:00	-0.013000000268220901	-0.104
2011-09-06 09:00:00	0.006000000052154064	-0.195
2011-09-06 10:00:00	0.13099999725818634	-0.146
2011-09-06 11:00:00	0.328000009059906	0.034
2011-09-06 12:00:00	0.5049999952316284	0.259
2011-09-06 13:00:00	0.6039999723434448	0.451
2011-09-06 14:00:00	0.6119999885559082	0.594
2011-09-06 15:00:00	0.5529999732971191	0.625
2011-09-06 16:00:00	0.4399999976158142	0.53
2011-09-06 17:00:00	0.2939999997615814	0.351
2011-09-06 18:00:00	0.14000000059604645	0.165
2011-09-06 19:00:00	0.008999999612569809	-0.006
2011-09-06 20:00:00	-0.09099999815225601	-0.131
2011-09-06 21:00:00	-0.15600000321865082	-0.204
2011-09-06 22:00:00	-0.17499999701976776	-0.25
2011-09-06 23:00:00	-0.0949999988079071	-0.219
2011-09-07 00:00:00	0.08699999749660492	-0.034
2011-09-07 01:00:00	0.31299999356269836	0.232
2011-09-07 02:00:00	0.4909999966621399	0.466
2011-09-07 03:00:00	0.5690000057220459	0.6
2011-09-07 04:00:00	0.5429999828338623	0.616
2011-09-07 05:00:00	0.4339999854564667	0.533
2011-09-07 06:00:00	0.28200000524520874	0.369
2011-09-07 07:00:00	0.125	0.189
2011-09-07 08:00:00	-0.004999999888241291	0.027
2011-09-07 09:00:00	-0.09600000083446503	-0.091
2011-09-07 10:00:00	-0.12600000202655792	-0.113
2011-09-07 11:00:00	-0.057999998331069946	0.0
2011-09-07 12:00:00	0.1080000028014183	0.232
2011-09-07 13:00:00	0.328000009059906	0.491
2011-09-07 14:00:00	0.5220000147819519	0.732
2011-09-07 15:00:00	0.6349999904632568	0.847
2011-09-07 16:00:00	0.6520000100135803	0.86
2011-09-07 17:00:00	0.5820000171661377	0.78
2011-09-07 18:00:00	0.460999995470047	0.64
2011-09-07 19:00:00	0.32100000977516174	0.457
2011-09-07 20:00:00	0.19099999964237213	0.277
2011-09-07 21:00:00	0.09700000286102295	0.149
2011-09-07 22:00:00	0.06199999898672104	0.085
2011-09-07 23:00:00	0.1340000033378601	0.116
2011-09-08 00:00:00	0.32899999618530273	0.305
2011-09-08 01:00:00	0.5839999914169312	0.604
2011-09-08 02:00:00	0.8090000152587891	0.966
2011-09-08 03:00:00	0.9300000071525574	1.128
2011-09-08 04:00:00	0.9449999928474426	1.143
2011-09-08 05:00:00	0.875	1.055
2011-09-08 06:00:00	0.75	0.905
2011-09-08 07:00:00	0.5979999899864197	0.71
2011-09-08 08:00:00	0.4429999887943268	0.536
2011-09-08 09:00:00	0.3190000057220459	0.393
2011-09-08 10:00:00	0.2290000021457672	0.283
2011-09-08 11:00:00	0.18299999833106995	0.21
2011-09-08 12:00:00	0.20600000023841858	0.189
2011-09-08 13:00:00	0.34299999475479126	0.293
2011-09-08 14:00:00	0.5879999995231628	0.527
2011-09-08 15:00:00	0.8209999799728394	0.802
2011-09-08 16:00:00	0.9409999847412109	0.954
2011-09-08 17:00:00	0.9480000138282776	1.012
2011-09-08 18:00:00	0.8899999856948853	1.067
2011-09-08 19:00:00	0.8069999814033508	1.055
2011-09-08 20:00:00	0.7239999771118164	1.0
2011-09-08 21:00:00	0.6539999842643738	0.914
2011-09-08 22:00:00	0.6000000238418579	0.817
2011-09-08 23:00:00	0.5600000023841858	0.75
2011-09-09 00:00:00	0.5429999828338623	0.701
2011-09-09 01:00:00	0.5699999928474426	0.674
2011-09-09 02:00:00	0.671999990940094	0.695
2011-09-09 03:00:00	0.8510000109672546	0.799
2011-09-09 04:00:00	1.0080000162124634	0.902
2011-09-09 05:00:00	1.059000015258789	0.933
2011-09-09 06:00:00	1.0010000467300415	0.869
2011-09-09 07:00:00	0.8880000114440918	0.762
2011-09-09 08:00:00	0.7540000081062317	0.64
2011-09-09 09:00:00	0.6290000081062317	0.515
2011-09-09 10:00:00	0.5230000019073486	0.411
2011-09-09 11:00:00	0.4399999976158142	0.323
2011-09-09 12:00:00	0.3840000033378601	0.268
2011-09-09 13:00:00	0.37599998712539673	0.287
2011-09-09 14:00:00	0.46299999952316284	0.448
2011-09-09 15:00:00	0.6570000052452087	0.704
2011-09-09 16:00:00	0.875	0.951
2011-09-09 17:00:00	0.9819999933242798	1.085
2011-09-09 18:00:00	0.9480000138282776	1.076
2011-09-09 19:00:00	0.8289999961853027	0.954
2011-09-09 20:00:00	0.6809999942779541	0.78
2011-09-09 21:00:00	0.5370000004768372	0.6
2011-09-09 22:00:00	0.41600000858306885	0.442
2011-09-09 23:00:00	0.3230000138282776	0.314
2011-09-10 00:00:00	0.25699999928474426	0.223
2011-09-10 01:00:00	0.23600000143051147	0.177
2011-09-10 02:00:00	0.31700000166893005	0.244
2011-09-10 03:00:00	0.5260000228881836	0.469
2011-09-10 04:00:00	0.7720000147819519	0.735
2011-09-10 05:00:00	0.9210000038146973	0.917
2011-09-10 06:00:00	0.9139999747276306	0.969
2011-09-10 07:00:00	0.796999990940094	0.893
2011-09-10 08:00:00	0.6370000243186951	0.722
2011-09-10 09:00:00	0.4740000069141388	0.524
2011-09-10 10:00:00	0.335999995470047	0.341
2011-09-10 11:00:00	0.2240000069141388	0.189
2011-09-10 12:00:00	0.14499999582767487	0.07
2011-09-10 13:00:00	0.10499999672174454	0.006
2011-09-10 14:00:00	0.1420000046491623	0.03
2011-09-10 15:00:00	0.29600000381469727	0.204
2011-09-10 16:00:00	0.5299999713897705	0.466
2011-09-10 17:00:00	0.7229999899864197	0.695
2011-09-10 18:00:00	0.7820000052452087	0.802
