Var1,Var2,Var3
2018-02-13 21:21,0,0
2018-02-13 21:41,0,0
2018-02-13 22:01,0,0
2018-02-13 22:21,0,0
2018-02-13 22:41,0,0
2018-02-13 23:01,0,0
2018-02-13 23:21,0,0
2018-02-13 23:41,0,0
2018-02-14 00:01,0,0
2018-02-14 00:21,0,0
2018-02-14 00:41,0,0
2018-02-14 01:01,0,0
2018-02-14 01:21,0,0
2018-02-14 01:41,0,0
2018-02-14 02:01,0,0
2018-02-14 02:21,0,0
2018-02-14 02:41,0,0
2018-02-14 03:01,0,0
2018-02-14 03:21,0,0
