Datetime(UTC)	WASD2	NCDV2	LWTV2	GTND2	SGSM2
2018-02-05 06:00:00	0.36516764994	0.44127702333999996	0.48762138879999994	0.58393397036	0.6043840936
2018-02-05 07:00:00	0.26856690019999996	0.5304774147	0.5231034164999999	0.4851961168	0.6499018485
2018-02-05 08:00:00	0.19042135929999998	0.5841409291999999	0.5073530306	0.4057585507	0.6441539827
2018-02-05 09:00:00	0.15617340149999998	0.606091743	0.4418791755	0.3627181619	0.5849390609
2018-02-05 10:00:00	0.28426525439999994	0.5741384696	0.35556758083	0.49835451470000003	0.49799096339
2018-02-05 11:00:00	0.43508799454999997	0.4887047094	0.2786928092	0.64963941331	0.412889033488
2018-02-05 12:00:00	0.5840144051	0.38823639922	0.22565767257	0.8027489521	0.34825808201999997
2018-02-05 13:00:00	0.7047002157	0.30555255713999996	0.18459561149999998	0.9193349297	0.2919412164
2018-02-05 14:00:00	0.7880222838	0.2537737619	0.1682158911	1.0060321387	0.2676857714
2018-02-05 15:00:00	0.7626410851	0.2126158605	0.1836811367	0.9808087862	0.28072657
2018-02-05 16:00:00	0.6378042501	0.198751604	0.27317741141	0.8570336071	0.37153264503
2018-02-05 17:00:00	0.51325082681	0.21652926509999998	0.37650774764	0.72879169201	0.4713664328
2018-02-05 18:00:00	0.40698920772999997	0.33054704189	0.43346765359999995	0.62223437091	0.5258007686
2018-02-05 19:00:00	0.3095355788	0.44595310218	0.4644439971	0.5258843974	0.5820665937
2018-02-05 20:00:00	0.22754548019999998	0.5133411942999999	0.4776709734	0.4439250897	0.609624774
2018-02-05 21:00:00	0.1561161987	0.5542802785000001	0.44442653379999997	0.3737942925	0.5898951222
2018-02-05 22:00:00	0.15418498269999997	0.5553306523999999	0.36453280918	0.3550575286	0.50600266834
2018-02-05 23:00:00	0.29629974429999995	0.5068079102	0.27302193994	0.5098429359000001	0.412371606211
2018-02-06 00:00:00	0.44386678092	0.39714794667	0.20621573743	0.6588865901100001	0.33858376457999995
2018-02-06 01:00:00	0.5826329777	0.29934147012999995	0.1549872857	0.8014268100999999	0.26981862
2018-02-06 02:00:00	0.6900552077	0.2323127947	0.1249040434	0.9062043111	0.2267018526
2018-02-06 03:00:00	0.7490568209999999	0.182055881	0.1277175392	0.9684167628	0.2254415591
2018-02-06 04:00:00	0.6806252452	0.15195808019999998	0.1618332957	0.8981221379	0.2595356055
2018-02-06 05:00:00	0.5491998233	0.15643997629999998	0.25065689097	0.767107665	0.3529457644
2018-02-06 06:00:00	0.431847642559	0.2022393864	0.32894646503999997	0.65402098699	0.423255751354
2018-02-06 07:00:00	0.3265962636	0.31926670472999996	0.36956836527000003	0.54149480705	0.47413301598999996
2018-02-06 08:00:00	0.23464331959999998	0.40167647179	0.38701655393	0.4498798971	0.51282646892
2018-02-06 09:00:00	0.14807713439999998	0.45153286437999995	0.36636822954	0.3675994265	0.50431070568
2018-02-06 10:00:00	0.09580054090000001	0.47060063209999997	0.28818492621999997	0.3090109905	0.43276021838
2018-02-06 11:00:00	0.1570462957	0.43491569004999997	0.1927969466	0.3683368981	0.33598454231999997
2018-02-06 12:00:00	0.29932091769999997	0.32370664982999997	0.11794898489999997	0.5156680942	0.25039441949999997
2018-02-06 13:00:00	0.432545099739	0.21054305999999998	0.06066644019999998	0.646586986136	0.1767644577
2018-02-06 14:00:00	0.5487240402	0.13476588999999997	0.010239652200000005	0.7667751566000001	0.1166737457
2018-02-06 15:00:00	0.6300543293	0.08299596659999997	-0.015983119699999992	0.8481173073	0.08647653960000001
2018-02-06 16:00:00	0.6127585571	0.04012260959999997	-0.013899366600000018	0.8343220353	0.09107609929999999
2018-02-06 17:00:00	0.48824400412999996	0.016522646799999985	0.03177564839999997	0.70390399788	0.13063525249999997
2018-02-06 18:00:00	0.37250759003	0.017962978899999982	0.1015043998	0.58901324947	0.19934256219999996
2018-02-06 19:00:00	0.2618990604	0.06382618289999997	0.154478647	0.4795168817	0.254959395
2018-02-06 20:00:00	0.1606136083	0.15562435589999998	0.17573063889999999	0.3782059018	0.2909553269
2018-02-06 21:00:00	0.0668486472	0.22109977179999998	0.1660258961	0.28573134950000006	0.2998480406
2018-02-06 22:00:00	-0.006461551499999996	0.2547815042	0.1205983886	0.2099290151	0.2603789031
2018-02-06 23:00:00	-0.047775852900000026	0.2482588374	0.04588117800000002	0.16420848509999997	0.18524898229999998
2018-02-07 00:00:00	0.01879288239999999	0.1772212959	-0.025260891000000008	0.23218035250000002	0.10587489550000001
2018-02-07 01:00:00	0.14890416569999998	0.06280034969999998	-0.0847747029	0.3629665079	0.03407374759999998
2018-02-07 02:00:00	0.2696819657	-0.023670588400000026	-0.1315592694	0.4865164473	-0.02099117789999999
2018-02-07 03:00:00	0.35813972236	-0.073235294	-0.15712672500000002	0.57449499779	-0.053872714399999966
2018-02-07 04:00:00	0.40606208465	-0.10716704049999998	-0.1456944536	0.62524158286	-0.04847037670000004
2018-02-07 05:00:00	0.34031056472	-0.12520163420000002	-0.07978313079999999	0.55678713948	0.015425939599999994
2018-02-07 06:00:00	0.23126900239999998	-0.11090371460000004	0.011166398199999983	0.4507734881	0.10631555579999996
2018-02-07 07:00:00	0.1172386762	-0.030819606100000008	0.0716193132	0.3352242372	0.17394691429999998
2018-02-07 08:00:00	0.016590345499999937	0.0784825757	0.11574833359999998	0.23422071560000002	0.23185739489999996
2018-02-07 09:00:00	-0.06590284359999998	0.15288851679999999	0.14547320779999998	0.15487078049999997	0.2730166934
