	WASD2	NCDV2	LWTV2	GTND2	SGSM2
2018-01-02 12:00:00	0.432365260336	0.352265095455	0.300532075071	0.648297294542	0.417966132875
2018-01-02 13:00:00	0.43902113879	0.35269376163099997	0.300580673247	0.65503852892	0.41779681961299997
2018-01-02 14:00:00	0.44128834646	0.35357860315899997	0.301134661176	0.6572579027600001	0.41809173738399996
2018-01-02 15:00:00	0.43839732026	0.354813018447	0.3021271462388	0.65437864829	0.418868334234
2018-01-02 16:00:00	0.43155084615	0.356285610388	0.3033303263317	0.6475230458010001	0.419998348079407
2018-01-02 17:00:00	0.42324620330609997	0.357889001117	0.304450652407	0.6392410182475	0.421199757606
2018-01-02 18:00:00	0.415649479582	0.35935450181199996	0.30522413763399997	0.631674002592	0.422200549103
2018-01-02 19:00:00	0.410570644	0.360382546538	0.305522411713	0.62664804739	0.422838195092
2018-01-02 20:00:00	0.40983663772	0.36073642070399997	0.305301485314	0.62587417392	0.422968650873
2018-01-02 21:00:00	0.414167764605	0.360545920052	0.30459319024799997	0.6302580589710001	0.422516494952
2018-01-02 22:00:00	0.422488373756	0.359895681907	0.3035674132846	0.638602300091	0.421576634173
2018-01-02 23:00:00	0.432213963129	0.358879876156	0.21697571710000002	0.648255867072	0.417434078143
2018-01-03 00:00:00	0.4408588481	0.357727247815	-0.21494768920000001	0.65696207148	-0.04702604920000003
2018-01-03 01:00:00	0.44622344108	0.3010177773	-0.003712718599999998	0.66227953931	0.09401440359999996
2018-01-03 02:00:00	0.44678456064	-0.013560076799999987	0.25596091758	0.6628024636100001	0.3266368681
2018-01-03 03:00:00	0.44164761582	0.004413658599999981	0.27900518169	0.65761055182	0.33345295330999997
2018-01-03 04:00:00	0.432284877111	0.28783449625	0.23302510731999998	0.648225613076	0.34907402021
