	date	wse
0	2017-09-27 15:00:00	1.98
1	2017-09-27 16:00:00	2.02
2	2017-09-27 17:00:00	2.05
3	2017-09-27 18:00:00	2.07
4	2017-09-27 19:00:00	2.08
5	2017-09-27 20:00:00	2.11
6	2017-09-27 21:00:00	2.15
7	2017-09-27 22:00:00	2.2
8	2017-09-27 23:00:00	2.24
9	2017-09-28 00:00:00	2.26
10	2017-09-28 01:00:00	2.27
11	2017-09-28 02:00:00	2.26
12	2017-09-28 03:00:00	2.25
13	2017-09-28 04:00:00	2.24
14	2017-09-28 05:00:00	2.23
15	2017-09-28 06:00:00	2.22
16	2017-09-28 07:00:00	2.22
17	2017-09-28 08:00:00	2.24
18	2017-09-28 09:00:00	2.28
19	2017-09-28 10:00:00	2.33
20	2017-09-28 11:00:00	2.38
21	2017-09-28 12:00:00	2.4
22	2017-09-28 13:00:00	2.4
23	2017-09-28 14:00:00	2.39
24	2017-09-28 15:00:00	2.37
25	2017-09-28 16:00:00	2.35
26	2017-09-28 17:00:00	2.33
27	2017-09-28 18:00:00	2.3
28	2017-09-28 19:00:00	2.29
29	2017-09-28 20:00:00	2.28
30	2017-09-28 21:00:00	2.28
31	2017-09-28 22:00:00	2.31
32	2017-09-28 23:00:00	2.34
33	2017-09-29 00:00:00	2.35
34	2017-09-29 01:00:00	2.35
35	2017-09-29 02:00:00	2.34
36	2017-09-29 03:00:00	2.32
37	2017-09-29 04:00:00	2.3
38	2017-09-29 05:00:00	2.28
39	2017-09-29 06:00:00	2.26
40	2017-09-29 07:00:00	2.24
41	2017-09-29 08:00:00	2.22
42	2017-09-29 09:00:00	2.21
43	2017-09-29 10:00:00	2.2
